Filename,ROI,Date,DOY,Red_Avg,Green_Avg,Blue_Avg,Red_SD,Green_SD,Blue_SD,Brightness_Avg,Brightness_SD,Green_Index,Green_Index_SD,Greenness_Excess_index,Greenness_Excess_index_SD,Red_index,Red_Index_SD,Blue_Index,Blue_Index_SD,plant
centermarsh_04_09_19_1200,1,4/9/2019 12:00,99,97.0019061,78.96057384,56.76845907,13.29008861,12.84990683,12.04453497,232.730939,37.92857722,0.339315921,0.003751988,4.150782504,2.585883089,0.418644452,0.013519658,0.242039627,0.014718488,c3
centermarsh_04_09_19_1200,2,4/9/2019 12:00,99,109.301907,91.30871351,67.36620352,16.01555883,15.86250018,15.11905576,267.976824,46.83576888,0.340811042,0.003751969,5.949316533,2.725221134,0.410221645,0.015018744,0.248967313,0.016016518,c3
centermarsh_04_10_19_1200,1,4/10/2019 12:00,100,136.2541944,109.005214,76.12074751,25.58229894,24.73868225,22.71931326,321.3801559,72.46657839,0.339139231,0.004672957,5.635486036,4.618793772,0.428111574,0.022756429,0.232749195,0.024312045,c3
centermarsh_04_10_19_1200,2,4/10/2019 12:00,100,156.6535949,126.6296454,88.84330269,35.55990925,32.98735214,28.33941503,372.126543,96.17030321,0.340041401,0.005681677,7.762393303,5.421666605,0.425999167,0.025799424,0.233959432,0.025910911,c3
centermarsh_05_07_19_1200,1,5/7/2019 12:00,127,52.36478185,51.72306469,36.83769217,13.35235898,12.44179085,12.50822811,140.9255387,37.94925623,0.370289973,0.019608586,14.24365535,5.716334672,0.373407158,0.014838853,0.256302869,0.024234525,c3
centermarsh_05_10_19_1200,1,5/10/2019 12:00,130,70.341598,71.06313012,44.5459577,17.45411737,15.93779494,16.34063426,185.9506858,49.26979597,0.386322384,0.022279808,27.23870454,7.982067883,0.380112232,0.013845116,0.233565384,0.026758843,c3
centermarsh_05_27_19_1200,1,5/27/2019 12:00,147,51.45814949,64.93442743,41.8802284,10.22554189,10.85587764,11.30947814,158.2728053,32.12296138,0.413377458,0.017493719,36.53047697,3.609294169,0.325660704,0.01113902,0.260961837,0.020180656,c3
centermarsh_05_31_19_1200,1,5/31/2019 12:00,151,42.16605279,57.09969306,19.39254144,11.26001967,11.62159837,9.340526091,118.6582873,31.51701093,0.48775282,0.033976531,52.6407919,7.380281778,0.355493691,0.011359027,0.156753489,0.036344259,c3
centermarsh_06_06_19_1200,1,6/6/2019 12:00,157,53.29446554,60.76626752,22.50297897,17.21726439,16.71686041,15.08518111,136.563712,48.49180028,0.458743228,0.04491364,45.73509054,5.333790798,0.39478037,0.023586287,0.146476402,0.059821187,c3
centermarsh_06_06_19_1200,2,6/6/2019 12:00,157,41.10221121,53.32984677,14.34388476,6.979258634,6.969990473,6.6932166,108.7759427,20.44509958,0.495119018,0.029281178,51.21359758,2.935014394,0.379051025,0.010952619,0.125829957,0.035362435,c3
