,Filename,ROI,Date,DOY,Red_Avg,Green_Avg,Blue_Avg,Red_SD,Green_SD,Blue_SD,Brightness_Avg,Brightness_SD,Green_Index,Green_Index_SD,Greenness_Excess_index,Greenness_Excess_index_SD,Red_index,Red_Index_SD,Blue_Index,Blue_Index_SD,plant
1,behindestuary_08_13_18_1200,1,2018-08-13 12:00:00,225,91.1941163,87.52877597,33.92265092,18.27400075,16.85917543,11.34911958,212.6455432,42.76564035,0.413265843,0.024023762,49.94078471,15.00236949,0.429675338,0.022381699,0.157058819,0.036475311,mixed
2,centerdifferentview_07_20_18_1200,1,2018-07-20 12:00:00,201,110.8929072,101.9831921,39.78401415,32.48324174,26.04831506,23.51978766,252.6601134,80.4731027,0.412776587,0.035049683,53.28946278,12.63134997,0.443602572,0.032278189,0.143620841,0.051923145,c3
3,centerdifferentview_07_20_18_1200,2,2018-07-20 12:00:00,201,140.6855709,132.8104893,51.69340025,33.76396118,21.56821817,21.09094225,325.1894605,74.78106497,0.41530309,0.03326375,73.24200753,18.33328304,0.432045251,0.020203317,0.152651659,0.032060184,c3
4,centerdifferentview_07_25_18_1200,1,2018-07-25 12:00:00,206,52.78884235,41.8764915,24.46674283,7.928530641,6.339969838,6.265041935,119.1320767,20.08144974,0.352889556,0.01521661,6.497397817,4.503004345,0.44487882,0.019371239,0.202231623,0.021032689,c3
5,centerdifferentview_07_25_18_1200,2,2018-07-25 12:00:00,206,51.87982495,43.13067834,26.79667396,6.986606833,5.482751612,5.420199292,121.8071772,17.52800933,0.355143242,0.012393233,7.584857768,3.658404961,0.426689533,0.014869284,0.218167225,0.014739101,c3
6,centerdifferentview_08_01_18_1200,1,2018-08-01 12:00:00,213,47.68876712,45.76689766,26.69682514,9.83645064,8.108920007,6.866019469,120.1524899,23.95049635,0.383219328,0.021522986,17.14820306,6.004233299,0.396832355,0.020650199,0.219948317,0.021683331,c3
7,centerdifferentview_08_01_18_1200,2,2018-08-01 12:00:00,213,45.24756207,45.45402333,25.30918337,9.438177281,8.307039509,6.255289208,116.0107688,23.00239316,0.39370867,0.02373506,20.35130123,6.866768993,0.389716356,0.021628144,0.216574974,0.020825361,c3
8,centerdifferentview_08_01_18_1200,3,2018-08-01 12:00:00,213,40.82039496,40.96515719,24.75927818,8.215234112,6.969114765,6.778759753,106.5448303,21.07897124,0.386911231,0.024032091,16.35064124,6.398546614,0.383600373,0.024506011,0.229488396,0.021917624,c3
9,centerdifferentview_08_10_18_1200,1,2018-08-10 12:00:00,222,65.32295318,58.59609538,30.11278947,17.24577878,15.49549224,14.6681515,154.031838,46.46057953,0.38504936,0.029269481,21.75644813,9.533792761,0.429034101,0.029012374,0.185916539,0.042269495,c3
10,centerdifferentview_08_27_18_1200,1,2018-08-27 12:00:00,239,142.5156066,114.4088975,59.87755625,27.22061189,23.82713008,23.77055072,316.8020604,74.04711591,0.363826943,0.017091633,26.42463226,10.47515653,0.455210593,0.027790015,0.180962464,0.037785794,c3
11,centerdifferentview_08_27_18_1200,2,2018-08-27 12:00:00,239,114.2104617,93.6470423,43.86791253,24.2193283,21.8039347,20.92474594,251.7254166,66.03359719,0.375462577,0.02090287,29.21571034,10.55171303,0.460483501,0.032740389,0.164053921,0.044333646,c3
12,centermarsh_07_03_18_1200,1,2018-07-03 12:00:00,184,76.51976548,92.10864351,40.08202304,17.57780416,15.14137541,14.87473985,208.710432,46.90328677,0.447903638,0.032880561,67.6154985,7.798165065,0.366597139,0.012526466,0.185499223,0.034234933,mixed
13,centermarsh_07_03_18_1200,2,2018-07-03 12:00:00,184,61.29297363,80.57478025,21.34555807,15.57351368,15.06269,11.97317717,163.213312,41.7252968,0.502159177,0.03798768,78.5110288,8.013117707,0.375910098,0.014911244,0.121930725,0.042098934,mixed
14,centermarsh_07_11_18_1200,1,2018-07-11 12:00:00,192,30.90100004,43.60630507,25.32231681,7.409387474,6.757827,6.215308054,99.82962192,19.79256721,0.440840364,0.025884076,30.98929328,4.815285825,0.307129319,0.018273127,0.252030317,0.021567118,mixed
15,centermarsh_07_11_18_1200,2,2018-07-11 12:00:00,192,39.18097268,52.45475683,27.92249564,5.967855943,5.476264601,4.571800111,119.5582252,15.67764389,0.440375543,0.015240683,37.80604534,3.113326301,0.326896816,0.010768862,0.232727641,0.011883252,mixed
16,centermarsh_07_12_18_1200,1,2018-07-12 12:00:00,193,96.94463977,92.73318049,45.03855644,27.42419382,24.36921618,21.84728088,234.7163767,72.04944292,0.402585238,0.032099352,43.48316476,10.94743854,0.41814575,0.035363577,0.179269012,0.050394683,mixed
17,centermarsh_07_15_18_1200,1,2018-07-15 12:00:00,196,64.67137698,74.77390508,34.80018312,11.86778549,10.24723336,9.839962196,174.2454652,31.0167286,0.432329545,0.022551883,50.07625006,7.232544401,0.370943675,0.011647559,0.19672678,0.024890235,mixed
18,centermarsh_07_16_18_1200,1,2018-07-16 12:00:00,197,62.78796694,75.63059504,33.57370248,13.66599133,11.12767453,11.93572097,171.9922645,36.00117226,0.445715151,0.032675115,54.89952066,7.983973544,0.364680387,0.012728896,0.189604462,0.032105402,mixed
19,centermarsh_07_16_18_1200,2,2018-07-16 12:00:00,197,61.72305427,75.06847173,29.63978702,11.63397364,10.52054237,10.33267647,166.431313,31.74096294,0.45524902,0.025536427,58.77410219,5.956055366,0.371250479,0.012871154,0.173500501,0.029824919,mixed
20,centermarsh_07_18_18_1200,1,2018-07-18 12:00:00,199,64.05131124,76.7735914,25.39586104,14.23837951,13.51103621,12.421311,166.2207637,38.41516161,0.468196779,0.034277348,64.10001052,10.1432164,0.386313039,0.017177155,0.145490181,0.04467804,mixed
21,centermarsh_07_24_18_1200,1,2018-07-24 12:00:00,205,82.71371724,88.93299903,31.12834034,8.701311638,9.156647617,7.345412848,202.7750566,22.18802717,0.439202855,0.019219654,64.02394047,11.32623288,0.408195399,0.010367344,0.152601746,0.026646807,mixed
22,centermarsh_07_24_18_1200,2,2018-07-24 12:00:00,205,69.19166703,75.93744876,47.09364346,9.757352166,10.09796193,9.66960015,192.2227592,27.96695422,0.396326005,0.018739425,35.58958702,9.326575755,0.360411081,0.011744266,0.243262914,0.023774094,mixed
23,centermarsh_08_02_18_1200,1,2018-08-02 12:00:00,214,35.36517576,35.59192253,14.62603064,9.533563679,7.870275878,7.097764138,85.58312892,23.30725256,0.421601288,0.037462993,21.19263865,7.44269054,0.414641744,0.031654196,0.163756967,0.040748116,c3
24,centermarsh_08_03_18_1200,1,2018-08-03 12:00:00,215,38.71626625,42.57567512,20.09276392,9.417343593,9.137773806,7.921507745,101.3847053,25.6871994,0.423754074,0.025467575,26.34232008,5.734658158,0.3827185,0.021913626,0.193527425,0.03049328,mixed
25,centermarsh_08_06_18_1200,1,2018-08-06 12:00:00,218,77.47231091,79.36670053,32.47546743,22.66094743,21.9199167,18.31755819,189.3144789,61.46354394,0.42640657,0.033160121,48.78562272,12.20469947,0.413586051,0.026161804,0.160007379,0.047954958,mixed
26,centermarsh_08_07_18_1200,1,2018-08-07 12:00:00,219,131.1273693,125.9645962,49.51801883,47.82858104,39.59097774,29.92265756,306.6099843,115.9445144,0.424223822,0.041463854,71.28380418,14.97034827,0.431301586,0.022616622,0.144474592,0.054341122,mixed
27,centermarsh_08_07_18_1200,2,2018-08-07 12:00:00,219,119.0603548,120.5863864,37.44986502,48.71393535,43.62761572,26.58088955,277.0966062,117.4379761,0.449845274,0.040670023,84.66255303,17.46547736,0.433267356,0.02344643,0.11688737,0.055104904,mixed
28,centermarsh_08_07_18_1200,3,2018-08-07 12:00:00,219,234.8080915,211.6577023,133.8568648,14.39402037,12.38996584,18.79115789,580.3226586,44.9782632,0.365320636,0.008682675,54.65044822,10.65293672,0.405168716,0.008178554,0.229510648,0.015411034,c3
29,centermarsh_08_08_18_1200,1,2018-08-08 12:00:00,220,102.6340408,103.8121149,43.60182294,21.0672154,20.25840446,18.77462492,250.0479787,58.87766617,0.420065197,0.027461299,61.38836611,11.04880497,0.414240461,0.024865337,0.165694342,0.04304566,mixed
30,centermarsh_08_08_18_1200,2,2018-08-08 12:00:00,220,84.5595943,91.0524125,32.93263763,19.30066524,18.63555048,16.65328505,208.5446444,53.62365955,0.443551967,0.032981063,64.61259307,9.619949588,0.409063362,0.022187769,0.147384671,0.047407601,mixed
31,centermarsh_08_08_18_1200,3,2018-08-08 12:00:00,220,77.36957525,83.45009234,26.13624192,13.90483733,13.50443212,12.03727637,186.9559095,37.76667152,0.450291229,0.027605068,63.3943675,10.17735816,0.415714637,0.018382722,0.133994133,0.038919921,mixed
32,centermarsh_08_13_18_1200,1,2018-08-13 12:00:00,225,96.83307005,90.87055714,33.68181542,24.78413272,22.43407874,16.76221037,221.3854426,62.85675445,0.415791692,0.02534651,51.22622881,10.12892898,0.441642803,0.024684395,0.142565506,0.041108698,mixed
33,centermarsh_08_13_18_1200,2,2018-08-13 12:00:00,225,125.0450952,111.6474286,43.39580952,27.56854861,18.95174666,17.26230413,280.0883333,62.71485975,0.403636758,0.025235737,54.85395238,11.23388427,0.447186523,0.017090316,0.14917672,0.030663079,mixed
34,centermarsh_08_17_18_1200,1,2018-08-17 12:00:00,229,151.4186844,146.4011037,69.13542252,26.06047034,22.72654731,23.32716911,366.9552106,70.39544523,0.402511315,0.023743872,72.24810052,14.41634384,0.414748957,0.020432143,0.182739728,0.034040276,mixed
35,centermarsh_08_17_18_1200,2,2018-08-17 12:00:00,229,127.9229203,125.4648665,50.23345775,22.64972105,19.58655045,20.00385298,303.6212446,60.92842839,0.417500926,0.026104249,72.77335491,13.04920201,0.423718213,0.018676892,0.158780861,0.03697501,mixed
36,centermarsh_08_29_18_1200,1,2018-08-29 12:00:00,241,55.90945729,56.40364675,34.9632586,7.973520321,7.007268715,8.386179414,147.2763626,22.36651072,0.384985803,0.018914109,21.93457761,6.049809599,0.380606172,0.018993306,0.234408024,0.025178517,mixed
37,centermarsh_08_29_18_1200,2,2018-08-29 12:00:00,241,51.00577235,53.22163916,28.48902776,7.914395719,5.953441734,6.899591929,132.7164393,20.21374643,0.403739851,0.022281137,26.9484782,6.096874585,0.384386534,0.013034558,0.211873615,0.020896176,mixed
38,centermarsh_08_29_18_1200,3,2018-08-29 12:00:00,241,51.30321597,52.31053676,28.47465769,10.08272741,7.427544162,9.757805618,132.0884104,26.62029902,0.401335856,0.031030491,24.84319986,8.098829835,0.389110018,0.015892503,0.209554126,0.03264494,mixed
