Filename,ROI,Green_Index,plant,Major_Plant_1,Major_Plant_2,Minor_Plant_1,Minor_Plant_2
behindestuary_06_05_18_1200,1,0.4618313,mixed,c4,,iva,
behindestuary_07_25_17_1200,1,0.44613019,iva,iva,,,
behindestuary_07_25_17_1200,2,0.44733696,scheonoplectus,c4,,,
behindestuary_08_13_18_1200,1,0.413265843,mixed,c4,iva,phragmites,
behindestuary_08_14_17_1200,1,0.422554411,iva,iva,,,
building_08_03_17_1200,1,0.383000262,scheonoplectus,scheonoplectus,typha,amaranthus,
building_08_03_17_1200,2,0.39173668,scheonoplectus,scheonoplectus,typha,amaranthus,
centerdifferentview_04_17_19_1200,1,0.337710245,scheonoplectus,scheonoplectus,,,
centerdifferentview_04_23_18_1200,1,0.329841922,scheonoplectus,scheonoplectus,,,
centerdifferentview_04_23_18_1200,2,0.329139835,mixed,scheonoplectus,,,
centerdifferentview_05_15_19_1200,1,0.358871139,scheonoplectus,scheonoplectus,,,
centerdifferentview_05_15_19_1200,1,0.3584323,scheonoplectus,scheonoplectus,,,
centerdifferentview_06_06_18_1200,1,0.473895683,scheonoplectus,scheonoplectus,,,
centerdifferentview_06_06_18_1200,2,0.471019668,scheonoplectus,scheonoplectus,,,
centerdifferentview_07_11_17_1200,1,0.375601634,scheonoplectus,scheonoplectus,,,
centerdifferentview_07_11_17_1200,2,0.385358932,scheonoplectus,scheonoplectus,,,
centerdifferentview_07_14_17_1200,1,0.386720776,scheonoplectus,scheonoplectus,,,
centerdifferentview_07_19_17_1200,1,0.353273225,scheonoplectus,scheonoplectus,,,
centerdifferentview_07_20_18_1200,1,0.412776587,scheonoplectus,scheonoplectus,,,
centerdifferentview_07_20_18_1200,2,0.41530309,scheonoplectus,scheonoplectus,,,
centerdifferentview_07_25_18_1200,1,0.352889556,scheonoplectus,scheonoplectus,,,
centerdifferentview_07_25_18_1200,2,0.355143242,scheonoplectus,scheonoplectus,,,
centerdifferentview_08_01_18_1200,1,0.383219328,scheonoplectus,scheonoplectus,,,
centerdifferentview_08_01_18_1200,2,0.39370867,scheonoplectus,scheonoplectus,,,
centerdifferentview_08_01_18_1200,3,0.386911231,scheonoplectus,scheonoplectus,,,
centerdifferentview_08_08_17_1200,1,0.374932431,scheonoplectus,scheonoplectus,,,
centerdifferentview_08_08_17_1200,2,0.381397925,scheonoplectus,scheonoplectus,, ,
centerdifferentview_08_08_17_1200,3,0.356053333,scheonoplectus,scheonoplectus,,,
centerdifferentview_08_10_18_1200,1,0.38504936,scheonoplectus,scheonoplectus,,,
centerdifferentview_08_27_18_1200,1,0.363826943,scheonoplectus,scheonoplectus,,,
centerdifferentview_08_27_18_1200,2,0.375462577,scheonoplectus,scheonoplectus,,,
centerdifferentview_09_07_18_1200,1,0.380914194,scheonoplectus,scheonoplectus,,,
centerdifferentview_09_11_18_1200,1,0.386091123,scheonoplectus,scheonoplectus,,,
centerdifferentview_09_15_17_1200,1,0.342437048,scheonoplectus,scheonoplectus,,,
centerdifferentview_09_25_17_1200,1,0.336606142,scheonoplectus,scheonoplectus,,,
centerdifferentview_09_27_17_1200,1,0.347757536,scheonoplectus,scheonoplectus,,,
centerdifferentview_10_04_17_1200,1,0.326609313,scheonoplectus,scheonoplectus,,,
centerdifferentview_10_04_17_1200,2,0.327675094,scheonoplectus,scheonoplectus,,,
centerdifferentview_10_05_17_1200,1,0.33578578,scheonoplectus,scheonoplectus,,,
centerdifferentview_10_10_18_1200,1,0.337611777,scheonoplectus,scheonoplectus,,,
centerdifferentview_10_11_18_1200,1,0.338842876,scheonoplectus,scheonoplectus,,,
centerdifferentview_10_15_18_1200,1,0.3387619,scheonoplectus,scheonoplectus,,,
centerdifferentview_10_15_18_1200,2,0.33791277,scheonoplectus,scheonoplectus,,,
centerdifferentview_10_17_18_1200,1,0.359366087,scheonoplectus,scheonoplectus,,,
centerdifferentview_11_02_17_1200,1,0.329812998,scheonoplectus,scheonoplectus,,,
centerdifferentview_11_02_17_1200,2,0.321936792,scheonoplectus,scheonoplectus,,,
centerdifferentview_11_04_18_1200,1,0.336823091,scheonoplectus,scheonoplectus,,,
centerdifferentview_11_04_18_1200,2,0.328799095,scheonoplectus,scheonoplectus,,,
centerdifferentview_11_14_18_1200,1,0.319100966,scheonoplectus,scheonoplectus,,,
centerdifferentview_11_14_18_1200,2,0.31924077,scheonoplectus,scheonoplectus,,,
centermarsh_03_01_18_1200,1,0.323289809,mixed,scheonoplectus,,phragmites,
centermarsh_03_05_18_1200,1,0.331496219,mixed,scheonoplectus,,,
centermarsh_03_05_18_1200,2,0.323323449,mixed,iva,scheonoplectus,,
centermarsh_03_06_19_1200,1,0.3338329,scheonoplectus,scheonoplectus,,,
centermarsh_03_07_18_1200,1,0.32018088,mixed,scheonoplectus,,,
centermarsh_03_07_18_1200,2,0.32182585,mixed,scheonoplectus,,,
centermarsh_03_07_19_1200,1,0.327386,scheonoplectus,scheonoplectus,,iva,
centermarsh_03_08_18_1200,1,0.318458339,mixed,scheonoplectus,,,
centermarsh_03_08_18_1200,2,0.330703944,mixed,scheonoplectus,,,
centermarsh_03_08_19_1200,1,0.3283885,scheonoplectus,scheonoplectus,,,
centermarsh_03_08_19_1200,2,0.3262567,scheonoplectus,scheonoplectus,,,
centermarsh_03_11_19_1200,1,0.3409475,scheonoplectus,scheonoplectus,,,
centermarsh_03_11_19_1200,2,0.3413299,scheonoplectus,scheonoplectus,,,
centermarsh_03_12_18_1200,1,0.324787491,mixed,scheonoplectus,,,
centermarsh_03_12_18_1200,2,0.322637063,mixed,iva,scheonoplectus,,
centermarsh_03_14_18_1200,1,0.325620663,mixed,c4,scheonoplectus,iva,
centermarsh_03_15_18_1200,1,0.332906232,mixed,iva,scheonoplectus,phragmites,
centermarsh_03_15_18_1200,2,0.331198844,scheonoplectus,scheonoplectus,,,
centermarsh_03_16_18_1200,1,0.317570009,mixed,scheonoplectus,,iva,
centermarsh_03_18_19_1200,1,0.3344753,scheonoplectus,c4,iva,scheonoplectus,
centermarsh_03_22_18_1200,1,0.326254753,mixed,phragmites,,,
centermarsh_03_22_19_1200,1,0.3396262,scheonoplectus,scheonoplectus,,,
centermarsh_03_22_19_1200,2,0.3375445,scheonoplectus,scheonoplectus,,,
centermarsh_03_23_19_1200,1,0.3374053,scheonoplectus,c4,scheonoplectus,iva,
centermarsh_03_25_19_1200,1,0.3351865,scheonoplectus,c4,scheonoplectus,iva,
centermarsh_03_26_18_1200,1,0.329450822,mixed,c4,scheonoplectus,iva,
centermarsh_03_26_18_1200,2,0.333077982,mixed,scheonoplectus,,,
centermarsh_03_27_18_1200,1,0.326412019,mixed,scheonoplectus,,,
centermarsh_03_27_18_1200,2,0.324202949,mixed,scheonoplectus,,,
centermarsh_03_27_19_1200,1,0.3349979,scheonoplectus,c4,scheonoplectus,iva,
centermarsh_03_29_18_1200,1,0.333777433,mixed,iva,scheonoplectus,,
centermarsh_03_29_18_1200,2,0.330475634,mixed,iva,scheonoplectus,,
centermarsh_03_30_18_1200,1,0.324147376,mixed,iva,scheonoplectus,,
centermarsh_04_01_19_1200,1,0.3382257,scheonoplectus,scheonoplectus,,,
centermarsh_04_01_19_1200,2,0.3359767,scheonoplectus,scheonoplectus,,,
centermarsh_04_03_18_1200,1,0.323448366,mixed,c4,scheonoplectus,iva,
centermarsh_04_04_19_1200,1,0.3368843,scheonoplectus,scheonoplectus,,,
centermarsh_04_04_19_1200,2,0.3366371,scheonoplectus,scheonoplectus,,,
centermarsh_04_05_18_1200,1,0.328079621,mixed,c4,scheonoplectus,iva,
centermarsh_04_05_19_1200,1,0.3347622,scheonoplectus,c4,scheonoplectus,iva,
centermarsh_04_05_19_1200,2,0.3344106,scheonoplectus,c4,scheonoplectus,iva,
centermarsh_04_08_19_1200,1,0.3392298,scheonoplectus,c4,iva,,
centermarsh_04_09_19_1200,1,0.339315921,scheonoplectus,scheonoplectus,,iva,
centermarsh_04_09_19_1200,2,0.340811042,scheonoplectus,scheonoplectus,,,
centermarsh_04_10_19_1200,1,0.339139231,scheonoplectus,scheonoplectus,,,
centermarsh_04_10_19_1200,2,0.340041401,scheonoplectus,scheonoplectus,,,
centermarsh_04_11_18_1200,1,0.326953598,mixed,scheonoplectus,,,
centermarsh_04_11_19_1200,1,0.3379058,scheonoplectus,scheonoplectus,,,
centermarsh_04_11_19_1200,2,0.3398865,scheonoplectus,scheonoplectus,,,
centermarsh_04_12_18_1200,1,0.325871596,mixed,scheonoplectus,,,
centermarsh_04_13_18_1200,1,0.333189939,mixed,scheonoplectus,,,
centermarsh_04_18_17_1200,1,0.327892867,scheonoplectus,scheonoplectus,,,
centermarsh_04_18_18_1200,1,0.329158376,mixed,scheonoplectus,,,
centermarsh_05_07_18_1200,1,0.339346557,mixed,scheonoplectus,,iva,
centermarsh_05_07_19_1200,1,0.370289973,scheonoplectus,c4,scheonoplectus,,
centermarsh_05_08_18_1200,1,0.331806751,scheonoplectus,scheonoplectus,,,
centermarsh_05_10_18_1200,1,0.344627829,mixed,c4,scheonoplectus,,
centermarsh_05_10_19_1200,1,0.386322384,scheonoplectus,c4,scheonoplectus,,
centermarsh_05_13_19_1200,1,0.435244384,mixed,iva,scheonoplectus,,
centermarsh_05_13_19_1200,2,0.412517829,scheonoplectus,c4,scheonoplectus,,
centermarsh_05_14_19_1200,1,0.377772319,scheonoplectus,c4,scheonoplectus,,
centermarsh_05_14_19_1200,2,0.438504184,scheonoplectus,c4,scheonoplectus,,
centermarsh_05_14_19_1200,3,0.397737196,scheonoplectus,c4,scheonoplectus,,
centermarsh_05_16_18_1200,1,0.388465056,mixed,c4,scheonoplectus,iva,
centermarsh_05_17_18_1200,1,0.410137815,mixed,c4,scheonoplectus,iva,
centermarsh_05_24_17_1200,1,0.402922581,scheonoplectus,c4,,,
centermarsh_05_27_19_1200,1,0.413377458,scheonoplectus,scheonoplectus,,,
centermarsh_05_31_19_1200,1,0.48775282,scheonoplectus,scheonoplectus,,hibiscus,
centermarsh_06_02_17_1200,1,0.416737901,scheonoplectus,scheonoplectus,,,
centermarsh_06_06_19_1200,1,0.458743228,scheonoplectus,scheonoplectus,,,
centermarsh_06_06_19_1200,2,0.495119018,scheonoplectus,scheonoplectus,,,
centermarsh_06_13_18_1200,1,0.499906836,scheonoplectus,scheonoplectus,,,
centermarsh_06_13_18_1200,2,0.471429879,mixed,scheonoplectus,,hibiscus,iva
centermarsh_06_13_18_1200,3,0.489102326,scheonoplectus,scheonoplectus,,,
centermarsh_06_13_19_1200,1,0.468940978,scheonoplectus,scheonoplectus,,,
centermarsh_06_13_19_1200,2,0.43954766,scheonoplectus,scheonoplectus,,,
centermarsh_06_16_19_1200,1,0.468533563,mixed,scheonoplectus,,hibiscus,typha
centermarsh_06_17_18_1200,1,0.475338665,scheonoplectus,scheonoplectus,,,
centermarsh_06_17_18_1200,2,0.442716054,mixed,scheonoplectus,,hibiscus,
centermarsh_06_19_18_1200,1,0.469683862,scheonoplectus,scheonoplectus,,,
centermarsh_06_19_18_1200,2,0.444942993,mixed,scheonoplectus,,hibiscus,
centermarsh_06_20_19_1200,1,0.459889523,mixed,typha,,,
centermarsh_06_20_19_1200,2,0.441838354,mixed,scheonoplectus,,hibiscus,
centermarsh_06_21_19_1200,1,0.452760515,scheonoplectus,scheonoplectus,,,
